RaceYear,RaceName,Driver,pit_stops,completed_laps,pit_stop_bucket,Abbreviation,GridPosition,Position,TeamName,Status,places_gained_from_grid,finished_ahead_of_grid
2020,Sakhir Grand Prix,FIT,3,87,3,FIT,20.0,17.0,Haas F1 Team,Finished,3.0,True
2020,Sakhir Grand Prix,GAS,2,87,2,GAS,9.0,11.0,AlphaTauri,Finished,-2.0,False
2020,Sakhir Grand Prix,GIO,2,87,2,GIO,14.0,13.0,Alfa Romeo Racing,Finished,1.0,True
2020,Sakhir Grand Prix,KVY,2,87,2,KVY,6.0,7.0,AlphaTauri,Finished,-1.0,False
2020,Sakhir Grand Prix,LAT,1,53,1,LAT,16.0,18.0,Williams,Engine,-2.0,False
2020,Sakhir Grand Prix,LEC,0,1,0,LEC,4.0,20.0,Ferrari,Collision,-16.0,False
2020,Sakhir Grand Prix,MAG,2,87,2,MAG,15.0,15.0,Haas F1 Team,Finished,0.0,False
2020,Sakhir Grand Prix,NOR,2,87,2,NOR,19.0,10.0,McLaren,Finished,9.0,True
2020,Sakhir Grand Prix,OCO,1,87,1,OCO,11.0,2.0,Renault,Finished,9.0,True
2020,Sakhir Grand Prix,PER,2,87,2,PER,5.0,1.0,Racing Point,Finished,4.0,True
2020,Sakhir Grand Prix,RAI,3,87,3,RAI,18.0,14.0,Alfa Romeo Racing,Finished,4.0,True
2020,Sakhir Grand Prix,RIC,2,87,2,RIC,7.0,5.0,Renault,Finished,2.0,True
2020,Sakhir Grand Prix,RUS,4,87,4+,RUS,2.0,9.0,Mercedes,Finished,-7.0,False
2020,Sakhir Grand Prix,SAI,2,87,2,SAI,8.0,4.0,McLaren,Finished,4.0,True
2020,Sakhir Grand Prix,STR,1,87,1,STR,10.0,3.0,Racing Point,Finished,7.0,True
2020,Sakhir Grand Prix,VER,0,1,0,VER,3.0,19.0,Red Bull Racing,Accident,-16.0,False
2020,Sakhir Grand Prix,VET,3,87,3,VET,13.0,12.0,Ferrari,Finished,1.0,True
2020,Spanish Grand Prix,ALB,2,65,2,ALB,6.0,8.0,Red Bull Racing,+1 Lap,-2.0,False
2020,Spanish Grand Prix,BOT,3,66,3,BOT,2.0,3.0,Mercedes,Finished,-1.0,False
2020,Spanish Grand Prix,GAS,2,65,2,GAS,10.0,9.0,AlphaTauri,+1 Lap,1.0,True
2020,Spanish Grand Prix,GIO,2,65,2,GIO,20.0,16.0,Alfa Romeo Racing,+1 Lap,4.0,True
2020,Spanish Grand Prix,GRO,2,64,2,GRO,17.0,19.0,Haas F1 Team,+2 Laps,-2.0,False
2020,Spanish Grand Prix,HAM,2,66,2,HAM,1.0,1.0,Mercedes,Finished,0.0,False
2020,Spanish Grand Prix,KVY,2,65,2,KVY,12.0,12.0,AlphaTauri,+1 Lap,0.0,False
2020,Spanish Grand Prix,LAT,2,64,2,LAT,19.0,18.0,Williams,+2 Laps,1.0,True
2020,Spanish Grand Prix,LEC,2,38,2,LEC,9.0,20.0,Ferrari,Electronics,-11.0,False
2020,Spanish Grand Prix,MAG,1,65,1,MAG,16.0,15.0,Haas F1 Team,+1 Lap,1.0,True
2020,Spanish Grand Prix,NOR,2,65,2,NOR,8.0,10.0,McLaren,+1 Lap,-2.0,False
2020,Spanish Grand Prix,OCO,1,65,1,OCO,15.0,13.0,Renault,+1 Lap,2.0,True
2020,Spanish Grand Prix,PER,1,65,1,PER,4.0,5.0,Racing Point,+1 Lap,-1.0,False
2020,Spanish Grand Prix,RAI,2,65,2,RAI,14.0,14.0,Alfa Romeo Racing,+1 Lap,0.0,False
2020,Spanish Grand Prix,RIC,1,65,1,RIC,13.0,11.0,Renault,+1 Lap,2.0,True
2020,Spanish Grand Prix,RUS,2,65,2,RUS,18.0,17.0,Williams,+1 Lap,1.0,True
2020,Spanish Grand Prix,SAI,2,65,2,SAI,7.0,6.0,McLaren,+1 Lap,1.0,True
2020,Spanish Grand Prix,STR,2,65,2,STR,5.0,4.0,Racing Point,+1 Lap,1.0,True
2020,Spanish Grand Prix,VER,2,66,2,VER,3.0,2.0,Red Bull Racing,Finished,1.0,True
2020,Spanish Grand Prix,VET,1,65,1,VET,11.0,7.0,Ferrari,+1 Lap,4.0,True
2020,Styrian Grand Prix,ALB,1,71,1,ALB,6.0,4.0,Red Bull Racing,Finished,2.0,True
2020,Styrian Grand Prix,BOT,1,71,1,BOT,4.0,2.0,Mercedes,Finished,2.0,True
2020,Styrian Grand Prix,GAS,2,70,2,GAS,7.0,15.0,AlphaTauri,+1 Lap,-8.0,False
2020,Styrian Grand Prix,GIO,1,70,1,GIO,19.0,14.0,Alfa Romeo Racing,+1 Lap,5.0,True
2020,Styrian Grand Prix,HAM,1,71,1,HAM,1.0,1.0,Mercedes,Finished,0.0,False
2020,Styrian Grand Prix,KVY,1,70,1,KVY,13.0,10.0,AlphaTauri,+1 Lap,3.0,True
2020,Styrian Grand Prix,LAT,1,69,1,LAT,18.0,17.0,Williams,+2 Laps,1.0,True
2020,Styrian Grand Prix,LEC,2,4,2,LEC,14.0,19.0,Ferrari,Collision damage,-5.0,False
2020,Styrian Grand Prix,MAG,1,70,1,MAG,15.0,12.0,Haas F1 Team,+1 Lap,3.0,True
2020,Styrian Grand Prix,NOR,1,71,1,NOR,9.0,5.0,McLaren,Finished,4.0,True
2020,Styrian Grand Prix,OCO,1,25,1,OCO,5.0,18.0,Renault,Overheating,-13.0,False
2020,Styrian Grand Prix,PER,1,71,1,PER,17.0,6.0,Racing Point,Finished,11.0,True
2020,Styrian Grand Prix,RAI,1,70,1,RAI,16.0,11.0,Alfa Romeo Racing,+1 Lap,5.0,True
2020,Styrian Grand Prix,RIC,1,71,1,RIC,8.0,8.0,Renault,Finished,0.0,False
2020,Styrian Grand Prix,RUS,1,69,1,RUS,11.0,16.0,Williams,+2 Laps,-5.0,False
2020,Styrian Grand Prix,SAI,2,70,2,SAI,3.0,9.0,McLaren,+1 Lap,-6.0,False
2020,Styrian Grand Prix,STR,1,71,1,STR,12.0,7.0,Racing Point,Finished,5.0,True
2020,Styrian Grand Prix,VER,2,71,2,VER,2.0,3.0,Red Bull Racing,Finished,-1.0,False
2020,Styrian Grand Prix,VET,1,1,1,VET,10.0,20.0,Ferrari,Collision damage,-10.0,False
2020,Turkish Grand Prix,ALB,2,58,2,ALB,4.0,7.0,Red Bull Racing,Finished,-3.0,False
2020,Turkish Grand Prix,BOT,2,57,2,BOT,9.0,14.0,Mercedes,+1 Lap,-5.0,False
2020,Turkish Grand Prix,GAS,2,57,2,GAS,19.0,13.0,AlphaTauri,+1 Lap,6.0,True
2020,Turkish Grand Prix,GIO,1,12,1,GIO,10.0,20.0,Alfa Romeo Racing,Gearbox,-10.0,False
2020,Turkish Grand Prix,GRO,3,49,3,GRO,17.0,18.0,Haas F1 Team,Collision damage,-1.0,False
2020,Turkish Grand Prix,HAM,1,58,1,HAM,6.0,1.0,Mercedes,Finished,5.0,True
2020,Turkish Grand Prix,KVY,1,57,1,KVY,16.0,12.0,AlphaTauri,+1 Lap,4.0,True
2020,Turkish Grand Prix,LEC,2,58,2,LEC,12.0,4.0,Ferrari,Finished,8.0,True
2020,Turkish Grand Prix,MAG,3,55,3,MAG,13.0,17.0,Haas F1 Team,Withdrew,-4.0,False
2020,Turkish Grand Prix,NOR,2,58,2,NOR,14.0,8.0,McLaren,Finished,6.0,True
2020,Turkish Grand Prix,OCO,2,57,2,OCO,7.0,11.0,Renault,+1 Lap,-4.0,False
2020,Turkish Grand Prix,PER,1,58,1,PER,3.0,2.0,Racing Point,Finished,1.0,True
2020,Turkish Grand Prix,RAI,3,57,3,RAI,8.0,15.0,Alfa Romeo Racing,+1 Lap,-7.0,False
2020,Turkish Grand Prix,RIC,2,58,2,RIC,5.0,10.0,Renault,Finished,-5.0,False
2020,Turkish Grand Prix,SAI,2,58,2,SAI,15.0,5.0,McLaren,Finished,10.0,True
2020,Turkish Grand Prix,STR,2,58,2,STR,1.0,9.0,Racing Point,Finished,-8.0,False
2020,Turkish Grand Prix,VER,3,58,3,VER,2.0,6.0,Red Bull Racing,Finished,-4.0,False
2020,Turkish Grand Prix,VET,2,58,2,VET,11.0,3.0,Ferrari,Finished,8.0,True
2020,Tuscan Grand Prix,ALB,5,59,4+,ALB,4.0,3.0,Red Bull Racing,Finished,1.0,True
2020,Tuscan Grand Prix,BOT,5,59,4+,BOT,2.0,2.0,Mercedes,Finished,0.0,False
2020,Tuscan Grand Prix,GAS,0,1,0,GAS,16.0,20.0,AlphaTauri,Collision,-4.0,False
2020,Tuscan Grand Prix,GIO,0,6,0,GIO,17.0,17.0,Alfa Romeo Racing,Collision,0.0,False
2020,Tuscan Grand Prix,GRO,5,59,4+,GRO,15.0,12.0,Haas F1 Team,Finished,3.0,True
2020,Tuscan Grand Prix,HAM,5,59,4+,HAM,1.0,1.0,Mercedes,Finished,0.0,False
2020,Tuscan Grand Prix,KVY,5,59,4+,KVY,12.0,7.0,AlphaTauri,Finished,5.0,True
2020,Tuscan Grand Prix,LAT,0,7,0,LAT,19.0,15.0,Williams,Collision,4.0,True
2020,Tuscan Grand Prix,LEC,5,59,4+,LEC,5.0,8.0,Ferrari,Finished,-3.0,False
2020,Tuscan Grand Prix,MAG,0,6,0,MAG,20.0,16.0,Haas F1 Team,Collision,4.0,True
2020,Tuscan Grand Prix,NOR,5,59,4+,NOR,11.0,6.0,McLaren,Finished,5.0,True
2020,Tuscan Grand Prix,OCO,2,8,2,OCO,10.0,14.0,Renault,Brakes,-4.0,False
2020,Tuscan Grand Prix,PER,5,59,4+,PER,7.0,5.0,Racing Point,Finished,2.0,True
2020,Tuscan Grand Prix,RAI,6,59,4+,RAI,13.0,9.0,Alfa Romeo Racing,Finished,4.0,True
2020,Tuscan Grand Prix,RIC,5,59,4+,RIC,8.0,4.0,Renault,Finished,4.0,True
2020,Tuscan Grand Prix,RUS,5,59,4+,RUS,18.0,11.0,Williams,Finished,7.0,True
2020,Tuscan Grand Prix,SAI,0,6,0,SAI,9.0,18.0,McLaren,Collision,-9.0,False
2020,Tuscan Grand Prix,STR,3,43,3,STR,6.0,13.0,Racing Point,Puncture,-7.0,False
2020,Tuscan Grand Prix,VER,0,1,0,VER,3.0,19.0,Red Bull Racing,Collision,-16.0,False
2020,Tuscan Grand Prix,VET,6,59,4+,VET,14.0,10.0,Ferrari,Finished,4.0,True
2021,Abu Dhabi Grand Prix,ALO,1,58,1,ALO,11.0,8.0,Alpine,Finished,3.0,True
2021,Abu Dhabi Grand Prix,BOT,1,58,1,BOT,6.0,6.0,Mercedes,Finished,0.0,False
2021,Abu Dhabi Grand Prix,GAS,2,58,2,GAS,12.0,5.0,AlphaTauri,Finished,7.0,True
2021,Abu Dhabi Grand Prix,GIO,1,34,1,GIO,14.0,17.0,Alfa Romeo Racing,Gearbox,-3.0,False
2021,Abu Dhabi Grand Prix,HAM,1,58,1,HAM,2.0,2.0,Mercedes,Finished,0.0,False
2021,Abu Dhabi Grand Prix,LAT,1,51,1,LAT,16.0,16.0,Williams,Accident,0.0,False
2021,Abu Dhabi Grand Prix,LEC,2,58,2,LEC,7.0,10.0,Ferrari,Finished,-3.0,False
2021,Abu Dhabi Grand Prix,MSC,2,57,2,MSC,19.0,14.0,Haas F1 Team,+1 Lap,5.0,True
2021,Abu Dhabi Grand Prix,NOR,2,58,2,NOR,3.0,7.0,McLaren,Finished,-4.0,False
2021,Abu Dhabi Grand Prix,OCO,1,58,1,OCO,9.0,9.0,Alpine,Finished,0.0,False
2021,Abu Dhabi Grand Prix,PER,4,55,4+,PER,4.0,15.0,Red Bull Racing,Engine,-11.0,False
2021,Abu Dhabi Grand Prix,RAI,2,25,2,RAI,18.0,19.0,Alfa Romeo Racing,Brakes,-1.0,False
2021,Abu Dhabi Grand Prix,RIC,2,57,2,RIC,10.0,12.0,McLaren,+1 Lap,-2.0,False
2021,Abu Dhabi Grand Prix,RUS,1,26,1,RUS,17.0,18.0,Williams,Gearbox,-1.0,False
2021,Abu Dhabi Grand Prix,SAI,1,58,1,SAI,5.0,3.0,Ferrari,Finished,2.0,True
2021,Abu Dhabi Grand Prix,STR,2,57,2,STR,13.0,13.0,Aston Martin,+1 Lap,0.0,False
2021,Abu Dhabi Grand Prix,TSU,2,58,2,TSU,8.0,4.0,AlphaTauri,Finished,4.0,True
2021,Abu Dhabi Grand Prix,VER,3,58,3,VER,1.0,1.0,Red Bull Racing,Finished,0.0,False
2021,Abu Dhabi Grand Prix,VET,1,58,1,VET,15.0,11.0,Aston Martin,Finished,4.0,True
2021,Austrian Grand Prix,ALO,1,70,1,ALO,14.0,10.0,Alpine,+1 Lap,4.0,True
2021,Austrian Grand Prix,BOT,1,71,1,BOT,5.0,2.0,Mercedes,Finished,3.0,True
2021,Austrian Grand Prix,GAS,2,71,2,GAS,6.0,9.0,AlphaTauri,Finished,-3.0,False
2021,Austrian Grand Prix,GIO,2,70,2,GIO,15.0,14.0,Alfa Romeo Racing,+1 Lap,1.0,True
2021,Austrian Grand Prix,HAM,2,71,2,HAM,4.0,4.0,Mercedes,Finished,0.0,False
2021,Austrian Grand Prix,LAT,1,70,1,LAT,18.0,16.0,Williams,+1 Lap,2.0,True
2021,Austrian Grand Prix,LEC,1,71,1,LEC,12.0,8.0,Ferrari,Finished,4.0,True
2021,Austrian Grand Prix,MAZ,2,69,2,MAZ,20.0,19.0,Haas F1 Team,+2 Laps,1.0,True
2021,Austrian Grand Prix,MSC,1,69,1,MSC,19.0,18.0,Haas F1 Team,+2 Laps,1.0,True
2021,Austrian Grand Prix,NOR,1,71,1,NOR,2.0,3.0,McLaren,Finished,-1.0,False
2021,Austrian Grand Prix,OCO,0,1,0,OCO,17.0,20.0,Alpine,Collision,-3.0,False
2021,Austrian Grand Prix,PER,1,71,1,PER,3.0,6.0,Red Bull Racing,Finished,-3.0,False
2021,Austrian Grand Prix,RAI,1,70,1,RAI,16.0,15.0,Alfa Romeo Racing,+1 Lap,1.0,True
2021,Austrian Grand Prix,RIC,1,71,1,RIC,13.0,7.0,McLaren,Finished,6.0,True
2021,Austrian Grand Prix,RUS,1,70,1,RUS,8.0,11.0,Williams,+1 Lap,-3.0,False
2021,Austrian Grand Prix,SAI,1,71,1,SAI,10.0,5.0,Ferrari,Finished,5.0,True
2021,Austrian Grand Prix,STR,2,70,2,STR,9.0,13.0,Aston Martin,+1 Lap,-4.0,False
2021,Austrian Grand Prix,TSU,2,70,2,TSU,7.0,12.0,AlphaTauri,+1 Lap,-5.0,False
