RaceYear,RaceName,Driver,Stint,Compound,degradation_slope_seconds_per_lap,intercept,n_laps,min_tyre_life,max_tyre_life
2018,Austrian Grand Prix,PER,2,SOFT,0.008933959970828916,0.7992716149420588,42,2.0,43.0
2018,Austrian Grand Prix,RAI,1,ULTRASOFT,-0.07533516483516538,1.5226593406593523,13,4.0,16.0
2018,Austrian Grand Prix,RAI,2,SOFT,-0.030493506493506475,2.170911688311695,55,2.0,56.0
2018,Austrian Grand Prix,RIC,1,SUPERSOFT,-0.08209340659340625,1.4553186813186731,13,4.0,16.0
2018,Austrian Grand Prix,RIC,2,SOFT,0.02660519480519466,0.11654718614719409,21,2.0,22.0
2018,Austrian Grand Prix,RIC,3,SUPERSOFT,-0.020191208791209177,1.039224175824185,14,7.0,20.0
2018,Austrian Grand Prix,SAI,1,ULTRASOFT,-0.0639685314685314,1.141451048951054,12,4.0,15.0
2018,Austrian Grand Prix,SAI,2,SOFT,0.1303357843137255,-0.3247696078431322,17,2.0,18.0
2018,Austrian Grand Prix,SAI,3,SUPERSOFT,0.01476050420168059,0.5697504201680637,35,2.0,36.0
2018,Austrian Grand Prix,SIR,1,SUPERSOFT,-0.07330713326004629,1.844252900940517,19,1.0,22.0
2018,Austrian Grand Prix,SIR,2,SOFT,0.01741008403361349,0.8157075630252061,34,2.0,35.0
2018,Austrian Grand Prix,SIR,3,ULTRASOFT,0.10282142857142779,-0.04714285714285694,8,2.0,9.0
2018,Austrian Grand Prix,STR,1,ULTRASOFT,-0.13492657342657308,1.4159393939393867,12,1.0,12.0
2018,Austrian Grand Prix,STR,2,SOFT,-0.01778468302214498,1.3579469170646916,48,2.0,49.0
2018,Austrian Grand Prix,VAN,2,SOFT,-0.027521711446091716,2.0579137217446752,35,2.0,38.0
2018,Austrian Grand Prix,VAN,3,SOFT,0.0037954545454546872,0.6169634387351706,23,2.0,24.0
2018,Austrian Grand Prix,VER,1,SUPERSOFT,-0.046406593406593775,0.8456813186813267,13,4.0,16.0
2018,Austrian Grand Prix,VER,2,SOFT,-0.019987373737373706,1.4229974747474816,55,2.0,56.0
2018,Austrian Grand Prix,VET,1,ULTRASOFT,-0.10168131868131876,1.6265824175824182,13,4.0,16.0
2018,Austrian Grand Prix,VET,2,SOFT,-0.025184992784992796,1.8057829725829788,55,2.0,56.0
2018,Azerbaijan Grand Prix,ALO,2,SOFT,-0.16625469824293343,5.879270129870129,34,5.0,38.0
2018,Azerbaijan Grand Prix,BOT,1,SUPERSOFT,-0.13200076394194046,5.335695951107716,34,9.0,42.0
2018,Azerbaijan Grand Prix,ERI,2,SOFT,-0.6546608391608387,9.00935547785547,12,5.0,16.0
2018,Azerbaijan Grand Prix,ERI,3,ULTRASOFT,-0.045055882352941286,1.6159058823529409,16,2.0,17.0
2018,Azerbaijan Grand Prix,GAS,1,ULTRASOFT,-0.6752571428571439,6.3630952380952435,6,5.0,10.0
2018,Azerbaijan Grand Prix,GAS,2,SOFT,-0.0935869230769233,3.1290569230769294,25,2.0,26.0
2018,Azerbaijan Grand Prix,GRO,2,SUPERSOFT,-0.16553521772345306,5.533354316271967,34,4.0,37.0
2018,Azerbaijan Grand Prix,HAM,1,SUPERSOFT,-0.28034705882352906,6.500323529411752,16,10.0,25.0
2018,Azerbaijan Grand Prix,HAM,2,SOFT,-0.07106617647058792,1.4844411764705776,16,2.0,17.0
2018,Azerbaijan Grand Prix,HAR,2,ULTRASOFT,-0.38526821608040246,6.503299832495824,15,5.0,20.0
2018,Azerbaijan Grand Prix,HAR,3,SUPERSOFT,-0.08052499999999993,1.585458333333327,15,2.0,16.0
2018,Azerbaijan Grand Prix,LEC,1,SUPERSOFT,-0.3337223942208464,6.342085655314755,18,5.0,22.0
2018,Azerbaijan Grand Prix,LEC,2,SOFT,-0.002230769230769139,0.34160439560438827,14,2.0,15.0
2018,Azerbaijan Grand Prix,MAG,2,SOFT,-0.19762433352748807,6.77772789999552,32,5.0,37.0
2018,Azerbaijan Grand Prix,PER,2,SOFT,-0.1672035141329258,5.391407333842621,34,4.0,37.0
