Compound,TyreLifeInt,median_loss,mean_loss,n
SOFT,30,0.5345000000000013,0.7967252252252258,222
SOFT,31,0.6300000000000026,0.8639838709677419,186
SOFT,32,0.6900000000000119,0.9304601226993865,163
SOFT,33,0.7540000000000049,0.9523591549295776,142
SOFT,34,0.6780000000000044,1.0109846153846158,130
SOFT,35,0.7369999999999948,0.9995950413223142,121
SOFT,36,0.6764999999999972,1.0050188679245287,106
SOFT,37,0.6119999999999948,1.0157263157894743,95
SOFT,38,0.6880000000000024,0.9327037037037039,81
SOFT,39,0.7700000000000102,0.9878550724637692,69
SOFT,40,0.7029999999999887,1.0198412698412702,63
SOFT,41,0.6370000000000005,0.9268363636363636,55
SOFT,42,0.5920000000000059,0.7653800000000005,50
SOFT,43,0.644999999999996,1.1541956521739132,46
SOFT,44,0.7249999999999943,1.208560975609758,41
SOFT,45,0.5754999999999981,1.0361176470588251,34
SUPERSOFT,2,0.8709999999999951,1.1245728155339798,103
SUPERSOFT,3,0.902000000000001,1.3954587155963298,109
SUPERSOFT,4,1.0415000000000063,1.475684615384615,130
SUPERSOFT,5,1.269999999999996,1.8047133333333325,150
SUPERSOFT,6,1.137999999999991,1.502190476190476,147
SUPERSOFT,7,1.150500000000001,1.38159375,160
SUPERSOFT,8,1.0750000000000028,1.4084352941176472,170
SUPERSOFT,9,1.1424999999999983,1.511933333333333,180
SUPERSOFT,10,1.194500000000005,1.5180271739130438,184
SUPERSOFT,11,1.2349999999999994,1.4325027624309392,181
SUPERSOFT,12,1.0120000000000005,1.3968595505617971,178
SUPERSOFT,13,1.0435000000000016,1.3520117647058822,170
SUPERSOFT,14,1.097999999999999,1.4137484662576685,163
SUPERSOFT,15,0.9899999999999949,1.3618216560509553,157
SUPERSOFT,16,1.0300000000000011,1.3255644171779144,163
SUPERSOFT,17,0.9689999999999941,1.3626754966887418,151
SUPERSOFT,18,0.9320000000000022,1.2491678321678323,143
SUPERSOFT,19,0.9489999999999981,1.2847913669064752,139
SUPERSOFT,20,1.1380000000000052,1.3815547445255467,137
SUPERSOFT,21,0.9179999999999993,1.3795671641791043,134
SUPERSOFT,22,1.0559999999999974,1.2621937984496123,129
SUPERSOFT,23,0.9479999999999933,1.201086206896551,116
SUPERSOFT,24,1.0190000000000055,1.2720540540540533,111
SUPERSOFT,25,1.0405000000000015,1.3388867924528298,106
SUPERSOFT,26,1.0750000000000028,1.3669999999999998,95
SUPERSOFT,27,1.0264999999999986,1.2840568181818173,88
SUPERSOFT,28,0.9269999999999925,1.2998674698795172,83
SUPERSOFT,29,0.8770000000000095,1.2067721518987333,79
SUPERSOFT,30,1.0390000000000015,1.3242676056338019,71
SUPERSOFT,31,0.9759999999999991,1.3021470588235275,68
SUPERSOFT,32,1.0575000000000045,1.3688676470588226,68
SUPERSOFT,33,0.8619999999999948,1.2901940298507455,67
SUPERSOFT,34,1.0854999999999961,1.2075999999999998,60
SUPERSOFT,35,0.9810000000000016,1.221923076923076,52
SUPERSOFT,36,0.8669999999999902,1.1689215686274501,51
SUPERSOFT,37,1.0444999999999993,1.3557916666666658,48
SUPERSOFT,38,1.2520000000000095,1.4515208333333325,48
SUPERSOFT,39,1.2339999999999947,1.3659111111111097,45
SUPERSOFT,40,1.0159999999999911,1.28497619047619,42
SUPERSOFT,41,1.1219999999999999,1.3339230769230772,39
SUPERSOFT,42,1.024000000000001,1.1722702702702694,37
SUPERSOFT,43,0.8369999999999891,1.125285714285713,35
SUPERSOFT,44,0.8930000000000007,1.2726562499999985,32
SUPERSOFT,45,0.6340000000000003,0.9311290322580621,31
SUPERSOFT,46,0.7620000000000005,0.9857096774193553,31
SUPERSOFT,47,0.6210000000000022,0.9354642857142862,28
ULTRASOFT,2,0.8129999999999953,1.1059848484848482,66
ULTRASOFT,3,1.0239999999999867,1.4986461538461529,65
ULTRASOFT,4,1.3059999999999974,1.829295454545454,88
ULTRASOFT,5,1.5130000000000052,1.8688272727272728,110
ULTRASOFT,6,1.399000000000001,1.5901596638655462,119
ULTRASOFT,7,1.061000000000007,1.33837037037037,135
ULTRASOFT,8,1.2065000000000055,1.5894178082191779,146
ULTRASOFT,9,1.1400000000000006,1.5215222929936298,157
ULTRASOFT,10,1.1479999999999961,1.4789455782312928,147
ULTRASOFT,11,1.028500000000001,1.361486111111111,144
ULTRASOFT,12,1.0549999999999997,1.3193450704225351,142
ULTRASOFT,13,0.9840000000000089,1.2080697674418612,129
ULTRASOFT,14,1.0540000000000092,1.2630737704918034,122
ULTRASOFT,15,0.9410000000000025,1.2851061946902658,113
ULTRASOFT,16,0.931999999999988,1.1787920792079205,101
